,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
625,723457,68.0,M,School
626,723457,60.0,M,Vehicle/Towed Trailer
627,699717,,,Vehicle/Towed Trailer
628,699717,,,Vehicle/Towed Trailer
629,700163,46.0,M,Permanent Structure
630,701447,56.0,M,Permanent Home
631,701747,12.0,F,In Water
632,702273,,M,Unknown
633,702335,59.0,M,In Water
634,702600,71.0,M,Outside/Open Areas
635,702905,57.0,M,Outside/Open Areas
636,703127,16.0,M,Under Tree
637,703248,93.0,F,Permanent Home
638,703303,2.0,F,Vehicle/Towed Trailer
639,703697,35.0,M,Outside/Open Areas
640,706970,82.0,M,Mobile/Trailer Home
641,713099,72.0,M,Permanent Home
642,713603,,M,In Water
643,713947,39.0,M,Under Tree
644,713949,,,Vehicle/Towed Trailer
645,713949,,,Vehicle/Towed Trailer
646,713949,,,Vehicle/Towed Trailer
647,713949,,,Vehicle/Towed Trailer
648,713949,,,Vehicle/Towed Trailer
649,713949,,,Vehicle/Towed Trailer
650,713949,,,Vehicle/Towed Trailer
651,713949,,,Vehicle/Towed Trailer
652,713949,,,Vehicle/Towed Trailer
653,713949,,,Vehicle/Towed Trailer
654,714415,64.0,M,Outside/Open Areas
655,714819,59.0,F,In Water
656,714820,34.0,F,In Water
657,715399,35.0,M,Camping
658,723458,,M,Other
659,723459,66.0,M,Permanent Home
660,698616,12.0,F,In Water
661,698616,13.0,F,In Water
662,698617,15.0,F,In Water
663,698617,16.0,M,In Water
664,718519,39.0,M,Mobile/Trailer Home
665,718519,67.0,F,Permanent Home
666,720927,23.0,M,Outside/Open Areas
667,715746,57.0,F,In Water
668,715746,27.0,M,In Water
669,715746,27.0,F,In Water
670,715746,24.0,F,In Water
671,715746,19.0,M,In Water
672,715746,13.0,M,In Water
673,715746,7.0,M,In Water
674,715746,5.0,F,In Water
675,715746,3.0,F,In Water
676,715746,2.0,F,In Water
677,716677,30.0,F,Permanent Home
678,716677,61.0,F,Permanent Home
679,716677,64.0,F,Permanent Home
680,734881,,M,Outside/Open Areas
681,734882,28.0,M,Unknown
682,734883,,M,Outside/Open Areas
683,672747,5.0,M,In Water
684,672747,26.0,M,In Water
685,673579,36.0,M,Outside/Open Areas
686,680811,52.0,F,Vehicle/Towed Trailer
687,692096,36.0,M,Permanent Home
688,722620,,M,Unknown
689,722622,53.0,M,In Water
690,722622,47.0,M,In Water
691,722629,,,Unknown
692,722629,,,Unknown
693,722629,,,Unknown
694,722629,,,Unknown
695,731651,63.0,M,In Water
696,749456,,,Unknown
697,749456,,,Unknown
698,749456,,,Unknown
699,749456,,,Unknown
700,749456,,,Unknown
701,749456,,,Unknown
702,749456,,,Unknown
703,749456,,,Unknown
704,749456,,,Unknown
705,749457,,M,Unknown
706,749737,,F,Permanent Home
707,749737,,F,Permanent Home
708,749737,,F,Permanent Home
709,706359,18.0,M,In Water
710,706581,74.0,M,In Water
711,707242,63.0,M,In Water
712,708122,38.0,M,In Water
713,708122,10.0,F,In Water
714,708190,11.0,F,In Water
715,710616,61.0,M,Outside/Open Areas
716,710655,73.0,M,Vehicle/Towed Trailer
717,711661,31.0,M,In Water
718,713023,73.0,M,In Water
719,713498,47.0,M,In Water
720,714873,52.0,M,Vehicle/Towed Trailer
721,714877,57.0,M,Outside/Open Areas
722,716579,14.0,F,Vehicle/Towed Trailer
723,717833,48.0,F,Outside/Open Areas
724,717833,37.0,M,Outside/Open Areas
725,717833,58.0,M,Permanent Home
726,717833,58.0,F,Permanent Home
727,717833,75.0,M,Permanent Home
728,717833,59.0,F,Permanent Home
729,717835,81.0,F,Outside/Open Areas
730,717835,37.0,M,Outside/Open Areas
731,717835,54.0,M,Outside/Open Areas
732,717835,67.0,M,Outside/Open Areas
733,717835,80.0,M,Outside/Open Areas
734,717835,92.0,M,Permanent Home
735,717837,66.0,F,Outside/Open Areas
736,717837,49.0,M,Outside/Open Areas
737,717837,60.0,M,Permanent Home
738,717837,71.0,M,Permanent Home
739,717839,80.0,F,Church
740,717839,74.0,F,Outside/Open Areas
741,717839,55.0,M,Outside/Open Areas
742,717839,35.0,M,Outside/Open Areas
743,717839,65.0,M,Outside/Open Areas
744,717840,59.0,F,Permanent Home
745,717843,58.0,F,Outside/Open Areas
746,717843,60.0,M,Outside/Open Areas
747,718677,56.0,M,Vehicle/Towed Trailer
748,718916,61.0,M,In Water
749,719139,68.0,F,Vehicle/Towed Trailer
750,719149,45.0,M,Vehicle/Towed Trailer
751,719342,41.0,F,In Water
752,719342,69.0,M,In Water
753,719342,,F,In Water
754,719342,88.0,F,In Water
755,719342,,F,In Water
756,719442,19.0,M,In Water
757,719442,12.0,M,In Water
758,719445,24.0,M,Outside/Open Areas
759,719489,75.0,M,In Water
760,719489,54.0,M,In Water
761,719489,55.0,M,In Water
762,719489,77.0,M,In Water
763,719489,73.0,F,In Water
764,719489,82.0,F,In Water
765,719489,19.0,M,Permanent Home
766,719489,,M,Permanent Home
767,719489,87.0,M,Permanent Home
768,719489,1.0,,Permanent Home
769,719494,67.0,M,In Water
770,719497,68.0,M,In Water
771,719497,61.0,F,Vehicle/Towed Trailer
772,719740,43.0,F,Vehicle/Towed Trailer
773,719740,51.0,M,Vehicle/Towed Trailer
774,719758,18.0,M,In Water
775,719763,5.0,M,In Water
776,753636,,M,Outside/Open Areas
777,754296,7.0,M,Under Tree
778,854804,,,Unknown
779,862273,,,Unknown
780,862273,,,Unknown
781,862274,,,Unknown
782,862277,,,Unknown
783,863311,,,Unknown
784,862273,,,Unknown
785,863310,,,Unknown
786,791228,54.0,M,Permanent Structure
787,791228,37.0,M,Permanent Structure
788,730218,55.0,M,Vehicle/Towed Trailer
789,730219,63.0,F,Vehicle/Towed Trailer
790,730295,57.0,M,Outside/Open Areas
791,730812,42.0,M,Vehicle/Towed Trailer
792,731146,31.0,F,Vehicle/Towed Trailer
793,731151,15.0,F,Vehicle/Towed Trailer
794,731151,19.0,M,Vehicle/Towed Trailer
795,732556,73.0,M,Vehicle/Towed Trailer
796,733561,21.0,M,Camping
797,734019,74.0,M,Outside/Open Areas
798,737279,77.0,M,Vehicle/Towed Trailer
799,737304,18.0,M,Vehicle/Towed Trailer
800,739742,30.0,M,Outside/Open Areas
801,740978,22.0,M,Vehicle/Towed Trailer
802,740979,17.0,F,Vehicle/Towed Trailer
803,740979,13.0,F,Vehicle/Towed Trailer
804,741419,22.0,M,Outside/Open Areas
805,742240,47.0,M,Vehicle/Towed Trailer
806,742595,53.0,M,Vehicle/Towed Trailer
807,742615,74.0,M,Other
808,743137,,M,Vehicle/Towed Trailer
809,743238,50.0,,Vehicle/Towed Trailer
810,743249,70.0,F,Other
811,743249,61.0,F,Other
812,855632,18.0,M,Outside/Open Areas
813,740887,45.0,M,Vehicle/Towed Trailer
814,743228,48.0,M,Vehicle/Towed Trailer
815,735022,79.0,F,Permanent Home
816,736714,69.0,M,Vehicle/Towed Trailer
817,746515,6.0,M,Mobile/Trailer Home
818,746598,44.0,M,Vehicle/Towed Trailer
819,782878,15.0,M,In Water
820,789445,20.0,M,Vehicle/Towed Trailer
821,794496,17.0,M,Vehicle/Towed Trailer
822,794496,26.0,M,Vehicle/Towed Trailer
823,794496,56.0,M,Vehicle/Towed Trailer
824,794496,57.0,M,Vehicle/Towed Trailer
825,795857,73.0,M,Permanent Home
826,795857,,,Vehicle/Towed Trailer
827,795857,,,Vehicle/Towed Trailer
828,795858,73.0,M,Permanent Home
829,795858,,,Vehicle/Towed Trailer
830,795858,,,Vehicle/Towed Trailer
831,795859,73.0,M,Permanent Home
832,795859,,,Vehicle/Towed Trailer
833,795859,,,Vehicle/Towed Trailer
834,795860,73.0,M,Permanent Home
835,795860,,,Vehicle/Towed Trailer
836,795860,,,Vehicle/Towed Trailer
837,795861,73.0,M,Permanent Home
838,795861,,,Vehicle/Towed Trailer
839,795861,,,Vehicle/Towed Trailer
840,754786,,,Unknown
841,755558,,,Unknown
842,756196,62.0,M,In Water
843,756201,72.0,M,Outside/Open Areas
844,756300,36.0,F,Vehicle/Towed Trailer
845,756300,77.0,M,Vehicle/Towed Trailer
846,758037,3.0,M,Vehicle/Towed Trailer
847,759719,32.0,M,In Water
848,760551,61.0,M,In Water
849,761147,24.0,M,In Water
850,761300,60.0,M,Outside/Open Areas
851,762222,47.0,F,In Water
852,762346,65.0,M,In Water
853,763448,56.0,M,Under Tree
854,764060,64.0,M,Outside/Open Areas
855,766986,0.0,M,Mobile/Trailer Home
856,767811,36.0,M,Outside/Open Areas
857,767811,33.0,M,Under Tree
858,768073,36.0,M,Outside/Open Areas
859,768073,33.0,M,Under Tree
860,856773,30.0,F,Outside/Open Areas
861,856774,33.0,M,Outside/Open Areas
862,773530,62.0,M,Unknown
863,773530,53.0,M,Outside/Open Areas
864,773530,78.0,M,Outside/Open Areas
865,773530,61.0,F,Outside/Open Areas
866,773530,52.0,M,Outside/Open Areas
867,773530,78.0,F,Permanent Home
868,773530,49.0,F,Permanent Home
869,773530,65.0,M,Vehicle/Towed Trailer
870,773531,78.0,M,Outside/Open Areas
871,773532,47.0,M,Outside/Open Areas
872,773532,28.0,M,Outside/Open Areas
873,773532,47.0,M,Outside/Open Areas
874,773532,84.0,F,Outside/Open Areas
875,773532,60.0,M,Outside/Open Areas
876,773532,71.0,M,Outside/Open Areas
877,773532,46.0,M,Outside/Open Areas
878,773532,78.0,F,Permanent Home
879,773532,56.0,M,Permanent Home
880,773533,57.0,M,Outside/Open Areas
881,773534,70.0,M,Outside/Open Areas
882,773534,48.0,M,Outside/Open Areas
883,773534,62.0,M,Outside/Open Areas
884,773534,61.0,M,Outside/Open Areas
885,773534,70.0,M,Permanent Home
886,773534,28.0,M,Vehicle/Towed Trailer
887,773534,29.0,M,Vehicle/Towed Trailer
888,773535,47.0,M,Outside/Open Areas
889,773535,59.0,M,Outside/Open Areas
