,Unnamed: 0_x,STATE,EVENT_ID,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,Unnamed: 0_y,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1712,119066,MONTANA,794225,2018,Winter Weather,0,3,0,2,1000.0,0.00K,1773,32.0,M,Vehicle/Towed Trailer
1713,119066,MONTANA,794225,2018,Winter Weather,0,3,0,2,1000.0,0.00K,1774,30.0,M,Vehicle/Towed Trailer
1714,119274,ARIZONA,863379,2018,Excessive Heat,0,0,1,1,0.0,0.00K,1315,,,Unknown
1715,119274,ARIZONA,863379,2018,Excessive Heat,0,0,1,1,0.0,0.00K,1316,,,Unknown
1716,119275,TEXAS,863758,2018,Lightning,0,0,1,0,,,1317,34.0,M,Unknown
1717,119276,ARIZONA,863313,2018,Excessive Heat,0,0,1,3,0.0,0.00K,1309,,,Unknown
1718,119276,ARIZONA,863313,2018,Excessive Heat,0,0,1,3,0.0,0.00K,1310,,,Unknown
1719,119276,ARIZONA,863313,2018,Excessive Heat,0,0,1,3,0.0,0.00K,1311,,,Unknown
1720,119276,ARIZONA,863313,2018,Excessive Heat,0,0,1,3,0.0,0.00K,1312,,,Unknown
1721,119281,ARIZONA,871252,2018,Heat,0,0,1,0,0.0,0.00K,1476,25.0,M,Outside/Open Areas
1722,119301,GUAM,830028,2018,Hurricane,121,0,0,1,500000000.0,1.00M,1332,44.0,F,Permanent Home
1723,119416,COLORADO,759483,2018,Flash Flood,0,0,1,0,500000.0,0.00K,1335,32.0,F,Permanent Home
1724,119428,CALIFORNIA,779523,2018,Flash Flood,0,0,1,0,50000.0,0.00K,961,28.0,M,Outside/Open Areas
1725,119468,ARIZONA,867355,2018,Heat,0,0,0,1,0.0,0.00K,1106,,,Unknown
1726,119469,ARIZONA,867356,2018,Heat,0,0,0,2,0.0,0.00K,1107,,,Unknown
1727,119469,ARIZONA,867356,2018,Heat,0,0,0,2,0.0,0.00K,1108,,,Unknown
1728,119472,ARIZONA,866442,2018,Heat,0,0,3,0,0.0,0.00K,1057,,,Unknown
1729,119472,ARIZONA,866442,2018,Heat,0,0,3,0,0.0,0.00K,1058,,,Unknown
1730,119472,ARIZONA,866442,2018,Heat,0,0,3,0,0.0,0.00K,1148,,,Unknown
1731,119473,ARIZONA,866443,2018,Heat,0,0,3,0,0.0,0.00K,1059,,,Unknown
1732,119473,ARIZONA,866443,2018,Heat,0,0,3,0,0.0,0.00K,1060,,,Unknown
1733,119473,ARIZONA,866443,2018,Heat,0,0,3,0,0.0,0.00K,1061,,,Unknown
1734,119482,ARIZONA,866444,2018,Heat,0,0,2,0,0.0,0.00K,1062,,,Unknown
1735,119482,ARIZONA,866444,2018,Heat,0,0,2,0,0.0,0.00K,1063,,,Unknown
1736,119483,ARIZONA,866447,2018,Heat,0,0,0,1,0.0,0.00K,1064,,,Unknown
